變數,變數中文,編碼,編碼標籤,備註
survey_year,調查年,,,西元年
gender,性別,1,男性,
,,2,女性,
birth_year,出生年,,,西元年
birth_month,出生月,,,
self_edu,教育程度,1,無,
,,2,自學,
,,3,小學,
,,4,國中,
,,5,高中,
,,6,專科（含二、三、五專）,
,,7,大學、研究所、博士,
,,8,師範師專,
,,9,軍警,
,,10,高職,
,,11,科大,
religion,宗教,1,佛教,
,,2,道教,
,,3,民間信仰,
,,4,天主教,
,,5,基督教,
,,6,伊斯蘭教,
,,7,其他,
,,8,沒有,
,,9,一貫道,
,,10,日本宗教,
,,11,其他外國宗教,
homo,同性婚姻支持程度,1,非常同意,
,,2,蠻同意,
,,3,有點同意,
,,4,有點不同意,
,,5,蠻不同意,
,,6,非常不同意,
,,7,沒意見,
,,8,不知道你在說什麼,
,,9,不知道,
zip,調查地郵遞區號,,,請見 http://c2e.ezbox.idv.tw/zipcode.php
homo_agree,支持同性婚姻,0,不同意,"homo 值不為 1,2,3"
,,1,同意,"homo 值為 1,2,3"
edu_use_pre_70,出生於 1950 - 1970 的樣本的教育程度分類,1,低教育程度,"低教育程度包含 self_edu 值為 1,2,3,4。 即國中以下"
,,2,技職,"技職包含 self_edu 值為 6,9,10,11。即高職、專科、軍警、科大"
,,3,學術,"學術包含 self_edu 值為 5,7。即高中與大學、研究所、博士"
edu_use_post_70,出生於 1971 - 1990 的樣本的教育程度分類,1,低教育程度,"低教育程度包含 self_edu 值為 1,2,3,4,5,10。 即高中職以下"
,,2,技職,"技職包含 self_edu 值為 6,9,11。即專科、軍警、科大"
,,3,學術,學術包含 self_edu 值為 7。即大學、研究所、博士
birth_cohort_big,出生世代分類,1,出生於 1950 - 1970 的樣本,
,,2,出生於 1971 - 1990 的樣本,
religion_use,宗教大分類,1,佛教,
,,2,道教,
,,3,民間信仰,
,,4,基督教與天主教,
,,5,沒有宗教,
